 Year, Statistics,MonthYear,MaxTempC
2011, Jan Average,Jan-11,29.3
2011, Feb Average,Feb-11,32.3
2011, Mar Average,Mar-11,31.8
2011, Apr Average,Apr-11,33.3
2011, May Average,May-11,32.6
2011, Jun Average,Jun-11,31.4
2011, Jul Average,Jul-11,31.1
2011, Aug Average,Aug-11,30.7
2011, Sep Average,Sep-11,30.4
2011, Oct Average,Oct-11,30.6
2011, Nov Average,Nov-11,31.2
2011, Dec Average,Dec-11,28.9
2012, Jan Average,Jan-12,30.6
2012, Feb Average,Feb-12,33
2012, Mar Average,Mar-12,34.4
2012, Apr Average,Apr-12,35
2012, May Average,May-12,33.3
2012, Jun Average,Jun-12,31.7
2012, Jul Average,Jul-12,31
2012, Aug Average,Aug-12,31.2
2012, Sep Average,Sep-12,30.8
2012, Oct Average,Oct-12,31.7
2012, Nov Average,Nov-12,31.6
2012, Dec Average,Dec-12,31.3
2013, Jan Average,Jan-13,30.5
2013, Feb Average,Feb-13,33.4
2013, Mar Average,Mar-13,34.6
2013, Apr Average,Apr-13,35.6
2013, May Average,May-13,34.2
2013, Jun Average,Jun-13,31.9
2013, Jul Average,Jul-13,30.9
2013, Aug Average,Aug-13,31.2
2013, Sep Average,Sep-13,30.6
2013, Oct Average,Oct-13,30.6
2013, Nov Average,Nov-13,30.8
2013, Dec Average,Dec-13,27.5
2014, Jan Average,Jan-14,29
2014, Feb Average,Feb-14,32.3
2014, Mar Average,Mar-14,34.8
2014, Apr Average,Apr-14,35.3
2014, May Average,May-14,34.5
2014, Jun Average,Jun-14,32.4
2014, Jul Average,Jul-14,31.6
2014, Aug Average,Aug-14,31.2
2014, Sep Average,Sep-14,31.4
2014, Oct Average,Oct-14,31.3
2014, Nov Average,Nov-14,31.6
2014, Dec Average,Dec-14,29.9
2015, Jan Average,Jan-15,29.7
2015, Feb Average,Feb-15,32.2
2015, Mar Average,Mar-15,34.6
2015, Apr Average,Apr-15,35
2015, May Average,May-15,35.2
2015, Jun Average,Jun-15,33.5
2015, Jul Average,Jul-15,32.1
2015, Aug Average,Aug-15,31.8
2015, Sep Average,Sep-15,31.5
2015, Oct Average,Oct-15,31.3
2015, Nov Average,Nov-15,32.1
2015, Dec Average,Dec-15,30.8
2016, Jan Average,Jan-16,30.4
2016, Feb Average,Feb-16,31.9
2016, Mar Average,Mar-16,35.4
2016, Apr Average,Apr-16,37.6
2016, May Average,May-16,35.3
2016, Jun Average,Jun-16,32.3
2016, Jul Average,Jul-16,31.8
2016, Aug Average,Aug-16,31.3
2016, Sep Average,Sep-16,31
2016, Oct Average,Oct-16,31.3
2016, Nov Average,Nov-16,31.6
2016, Dec Average,Dec-16,30
2017, Jan Average,Jan-17,30.3
2017, Feb Average,Feb-17,32.5
2017, Mar Average,Mar-17,34.2
2017, Apr Average,Apr-17,34.3
2017, May Average,May-17,32.9
2017, Jun Average,Jun-17,32
2017, Jul Average,Jul-17,31
2017, Aug Average,Aug-17,31.4
2017, Sep Average,Sep-17,31.9
2017, Oct Average,Oct-17,31.1
2017, Nov Average,Nov-17,30.4
2017, Dec Average,Dec-17,29.2
2018, Jan Average,Jan-18,30.1
2018, Feb Average,Feb-18,31.4
2018, Mar Average,Mar-18,33.7
2018, Apr Average,Apr-18,33.8
2018, May Average,May-18,33
2018, Jun Average,Jun-18,31.6
2018, Jul Average,Jul-18,30.9
2018, Aug Average,Aug-18,30.6
2018, Sep Average,Sep-18,31.5
2018, Oct Average,Oct-18,31.9
2018, Nov Average,Nov-18,31.7
2018, Dec Average,Dec-18,31
2019, Jan Average,Jan-19,31
2019, Feb Average,Feb-19,33.8
2019, Mar Average,Mar-19,35.5
2019, Apr Average,Apr-19,36.8
2019, May Average,May-19,34.9
2019, Jun Average,Jun-19,33
2019, Jul Average,Jul-19,32.3
2019, Aug Average,Aug-19,31.1
2019, Sep Average,Sep-19,31.3
2019, Oct Average,Oct-19,32.3
2019, Nov Average,Nov-19,31.6
2019, Dec Average,Dec-19,30.5
2020, Jan Average,Jan-20,32.4
2020, Feb Average,Feb-20,33.4
2020, Mar Average,Mar-20,35.5
2020, Apr Average,Apr-20,35.6
2020, May Average,May-20,35.2
2020, Jun Average,Jun-20,32.8
2020, Jul Average,Jul-20,32.5
2020, Aug Average,Aug-20,31.4
2020, Sep Average,Sep-20,31.7
2020, Oct Average,Oct-20,29.6
2020, Nov Average,Nov-20,31.1
2020, Dec Average,Dec-20,30
